
=== si/s05 column panel 0 J 18 K 14  (gid 1  deepest drained at rot 5) ===
     i       r[cm] |      rot 1: rho / T / v_r      rot 2: rho / T / v_r      rot 3: rho / T / v_r      rot 4: rho / T / v_r      rot 5: rho / T / v_r
    28  1.1051e+10 | 7.64e-06  3822.0 -3.63e+04 8.96e-06  3722.6 -1.02e+03 8.66e-06  3636.1  2.10e+03 9.18e-06  3630.5 -1.86e+04 8.40e-06  3571.4 -2.34e+04
    32  1.1234e+10 | 4.05e-06  3667.9 -4.82e+04 4.80e-06  3494.7  1.25e+03 4.42e-06  3387.2  2.91e+03 4.77e-06  3387.4 -2.76e+04 4.14e-06  3312.7 -3.68e+04
    36  1.1421e+10 | 2.24e-06  3389.8 -8.95e+04 2.44e-06  3274.4  6.57e+03 2.10e-06  3145.4 -1.39e+03 2.38e-06  3118.7 -4.59e+04 1.87e-06  3019.1 -5.25e+04
    40  1.1615e+10 | 1.08e-06  3116.6 -1.47e+05 1.16e-06  3058.4  1.32e+04 9.80e-07  2766.4 -3.24e+04 1.06e-06  2824.8 -6.27e+04 7.27e-07  2740.0 -6.05e+04
    44  1.1818e+10 | 4.46e-07  2859.9 -2.00e+05 5.04e-07  2831.2  1.28e+04 3.22e-07  2436.6 -3.14e+04 4.02e-07  2533.6 -7.76e+04 2.34e-07  2333.0 -6.84e+04
    48  1.2032e+10 | 1.66e-07  2553.4 -2.68e+05 1.96e-07  2558.4 -1.90e+04 7.80e-08  2147.1  1.57e+04 1.12e-07  2178.8 -1.43e+05 4.43e-08  2026.1  7.23e+01
    52  1.2260e+10 | 2.58e-08  2035.7 -5.65e+05 6.96e-08  2154.6 -6.77e+04 1.17e-08  1953.3  7.42e+04 3.08e-08  1973.2 -1.98e+05 5.35e-10  1615.1 -8.73e+05
    56  1.2502e+10 | 5.70e-09  1610.2 -7.27e+05 1.68e-08  1892.5 -1.32e+05 2.39e-10  2093.5 -3.96e+05 9.72e-09  1747.3 -2.44e+05 3.83e-10  1699.4 -8.02e+05
    60  1.2761e+10 | 2.34e-09  1522.9 -7.28e+05 4.32e-09  1784.3 -2.09e+05 7.59e-11  1974.2 -6.00e+05 3.84e-09  1573.3 -2.32e+05 2.73e-10  1763.7 -7.20e+05
    64  1.3036e+10 | 1.27e-09  1579.3 -6.60e+05 1.05e-09  1662.2 -1.62e+05 4.85e-11  1957.9 -5.28e+05 1.68e-09  1495.5 -1.81e+05 1.95e-10  1820.5 -6.28e+05
    68  1.3330e+10 | 7.35e-10  1645.0 -5.84e+05 1.71e-10  1556.2 -2.45e+05 3.12e-11  1913.9 -4.58e+05 8.05e-10  1553.5 -9.45e+04 1.36e-10  1890.6 -5.31e+05
    72  1.3642e+10 | 4.31e-10  1714.7 -5.11e+05 1.84e-11  1217.5 -5.15e+05 2.03e-11  1876.8 -4.10e+05 4.18e-10  1736.1  2.19e+04 9.49e-11  1943.5 -4.32e+05
    76  1.3973e+10 | 2.31e-10  1892.7 -4.34e+05 9.62e-12  1252.3 -4.32e+05 1.49e-11  1809.7 -3.93e+05 2.44e-10  1890.0  1.37e+05 6.50e-11  1999.9 -3.31e+05
    80  1.4325e+10 | 1.22e-10  2057.4 -3.60e+05 6.04e-12  1208.5 -3.29e+05 9.54e-12  1732.7 -3.08e+05 1.37e-10  2025.1  2.56e+05 4.39e-11  2049.8 -2.19e+05
    88  1.5093e+10 | 6.30e-11  2123.6 -1.90e+05 1.23e-12  1013.7 -1.26e+05 2.01e-12  1592.9 -3.45e+04 2.60e-11  2096.4  5.84e+05 3.18e-11  1912.7 -4.30e+04
    96  1.5954e+10 | 3.38e-11  2092.8  4.99e+04 5.29e-14  1330.9 -2.98e+05 6.05e-14  1589.1 -2.75e+05 1.63e-12  1618.0 -2.74e+05 1.55e-11  2080.2  5.18e+04
   104  1.6919e+10 | 1.24e-11  1956.7  2.98e+05 5.16e-14  1289.7 -2.71e+05 5.34e-14  1568.7 -2.69e+05 5.94e-13  1547.5 -1.72e+05 2.34e-12  1904.6 -3.62e+05
   112  1.8006e+10 | 9.00e-13  1959.3 -1.84e+05 5.09e-14  1248.3 -2.39e+05 5.16e-14  1542.8 -2.37e+05 9.95e-14  1586.7 -1.36e+05 1.30e-12  1852.3 -1.79e+05
   120  1.9239e+10 | 4.77e-13  1917.7 -9.53e+04 5.00e-14  1211.3 -2.08e+05 5.00e-14  1500.6 -2.04e+05 5.00e-14  1525.3 -2.04e+05 3.90e-13  1830.4 -5.95e+04
                   | rot1 minrho 1.44e-13 rot2 minrho 5.00e-14 rot3 minrho 5.00e-14 rot4 minrho 5.00e-14 rot5 minrho 7.10e-14

=== si/s05 column panel 0 J 14 K 11  (gid 0  2nd deepest) ===
     i       r[cm] |      rot 1: rho / T / v_r      rot 2: rho / T / v_r      rot 3: rho / T / v_r      rot 4: rho / T / v_r      rot 5: rho / T / v_r
    28  1.1051e+10 | 7.56e-06  3817.6 -3.14e+04 8.78e-06  3734.7  3.31e+02 8.81e-06  3656.5 -9.86e+03 8.86e-06  3624.0 -1.50e+04 8.09e-06  3547.5 -3.58e+04
    32  1.1234e+10 | 4.00e-06  3640.9 -3.71e+04 4.73e-06  3506.7  1.89e+03 4.57e-06  3420.0 -2.21e+04 4.54e-06  3379.0 -2.17e+04 3.91e-06  3284.0 -4.56e+04
    36  1.1421e+10 | 2.09e-06  3425.0 -4.07e+04 2.43e-06  3284.1 -5.47e+03 2.39e-06  3031.8 -5.23e+04 2.22e-06  3101.9 -3.36e+04 1.73e-06  2962.4 -5.93e+04
    40  1.1615e+10 | 1.01e-06  3196.1 -5.54e+04 1.20e-06  3036.8 -2.57e+04 9.73e-07  2803.0 -7.57e+04 9.50e-07  2866.5 -4.77e+04 6.25e-07  2629.1 -7.25e+04
    44  1.1818e+10 | 4.39e-07  2958.4 -8.06e+04 5.20e-07  2649.8 -6.65e+04 3.59e-07  2530.5 -9.64e+04 3.76e-07  2478.8 -7.45e+04 1.64e-07  2201.8 -5.11e+04
    48  1.2032e+10 | 1.66e-07  2677.8 -1.28e+05 1.79e-07  2353.0 -9.56e+04 1.10e-07  2300.0 -1.09e+05 9.58e-08  2183.4 -1.29e+05 2.48e-08  2064.5  2.13e+04
    52  1.2260e+10 | 5.27e-08  2308.4 -2.43e+05 5.43e-08  2021.2 -6.48e+04 2.80e-08  2131.6 -7.73e+04 2.15e-08  1925.9 -2.48e+05 5.39e-10  2346.0 -8.75e+05
    56  1.2502e+10 | 5.82e-09  1703.7 -6.73e+05 1.11e-08  1839.2 -7.49e+04 5.59e-09  1973.1 -1.80e+05 6.96e-09  1726.7 -2.92e+05 4.22e-10  2347.6 -8.40e+05
    60  1.2761e+10 | 2.02e-09  1562.6 -7.32e+05 1.69e-09  1842.7 -8.48e+04 1.57e-09  1811.8 -2.25e+05 2.56e-09  1592.2 -2.79e+05 3.58e-10  2336.4 -7.69e+05
    64  1.3036e+10 | 1.03e-09  1618.7 -6.90e+05 3.40e-10  2115.4 -8.29e+04 5.16e-10  1650.2 -1.94e+05 8.61e-10  1686.7 -2.38e+05 2.95e-10  2335.4 -6.50e+05
    68  1.3330e+10 | 6.02e-10  1705.4 -6.20e+05 3.39e-11  2020.3 -3.20e+05 6.23e-11  1741.7 -3.54e+05 3.27e-10  2034.1 -1.18e+05 2.27e-10  2328.6 -4.88e+05
    72  1.3642e+10 | 3.79e-10  1789.5 -5.36e+05 6.84e-12  1833.3 -5.36e+05 3.30e-11  1772.8 -2.62e+05 1.73e-10  2216.2  1.58e+04 1.74e-10  2257.3 -3.15e+05
    76  1.3973e+10 | 2.42e-10  1881.3 -4.38e+05 3.74e-12  1786.9 -4.08e+05 1.63e-11  1690.2 -3.88e+04 1.20e-10  2321.8  1.30e+05 1.01e-10  2174.3 -2.88e+05
    80  1.4325e+10 | 1.53e-10  1967.1 -3.31e+05 2.24e-12  1771.0 -2.73e+05 2.32e-12  1780.8 -1.31e+04 6.34e-11  2133.5  2.15e+03 6.99e-11  2136.9 -2.16e+05
    88  1.5093e+10 | 6.67e-11  2105.6 -1.18e+05 5.47e-13  1804.3 -1.40e+05 2.94e-13  1678.4 -2.20e+05 6.97e-12  1850.7 -4.17e+05 3.97e-11  2084.8 -5.87e+03
    96  1.5954e+10 | 3.51e-11  2115.4  1.19e+05 1.53e-13  1701.9 -1.83e+05 1.02e-13  1585.0 -2.37e+05 1.43e-12  1721.0 -1.58e+05 2.20e-11  2065.8  1.96e+05
   104  1.6919e+10 | 1.65e-11  1969.8  4.25e+05 7.02e-14  1620.4 -2.40e+05 6.00e-14  1541.6 -2.63e+05 2.24e-13  1756.7 -1.13e+05 1.48e-11  2010.9  3.78e+05
   112  1.8006e+10 | 8.03e-13  1988.1 -2.01e+05 5.65e-14  1579.5 -2.26e+05 5.31e-14  1515.5 -2.36e+05 5.95e-14  1644.7 -2.11e+05 9.98e-13  3216.6 -2.89e+05
   120  1.9239e+10 | 5.38e-13  1938.1 -1.29e+05 5.10e-14  1526.9 -1.97e+05 5.00e-14  1475.5 -2.06e+05 5.00e-14  1577.5 -1.99e+05 7.95e-13  2935.1 -1.74e+05
                   | rot1 minrho 2.36e-13 rot2 minrho 5.00e-14 rot3 minrho 5.00e-14 rot4 minrho 5.00e-14 rot5 minrho 5.08e-13

=== si/s05 column panel 0 J 21 K 18  (gid 3  coldest of the drained set) ===
     i       r[cm] |      rot 1: rho / T / v_r      rot 2: rho / T / v_r      rot 3: rho / T / v_r      rot 4: rho / T / v_r      rot 5: rho / T / v_r
    28  1.1051e+10 | 7.69e-06  3855.5 -2.76e+04 9.12e-06  3692.4 -4.85e+04 8.55e-06  3625.9  3.65e+03 9.18e-06  3621.1  3.74e+03 8.59e-06  3573.8 -3.01e+04
    32  1.1234e+10 | 4.27e-06  3614.6 -4.63e+04 4.84e-06  3453.7 -7.09e+04 4.30e-06  3378.1  5.94e+03 4.76e-06  3377.6  9.63e+03 4.27e-06  3314.7 -5.48e+04
    36  1.1421e+10 | 2.21e-06  3405.0 -4.79e+04 2.45e-06  3229.3 -7.62e+04 2.00e-06  3136.7  6.73e+03 2.31e-06  3145.0  1.59e+04 2.05e-06  2947.4 -9.41e+04
    40  1.1615e+10 | 1.07e-06  3183.7 -5.47e+04 1.16e-06  3007.2 -7.52e+04 8.46e-07  2883.5  5.11e+03 1.03e-06  2914.5  1.53e+04 7.70e-07  2669.5 -1.19e+05
    44  1.1818e+10 | 5.00e-07  2897.5 -8.08e+04 5.03e-07  2748.8 -7.93e+04 3.14e-07  2517.1 -1.18e+04 4.20e-07  2640.6 -1.54e+03 2.52e-07  2342.8 -1.11e+05
    48  1.2032e+10 | 1.94e-07  2557.5 -1.32e+05 2.00e-07  2461.1 -6.33e+04 7.69e-08  2049.2 -1.09e+04 1.54e-07  2263.7 -2.84e+04 6.18e-08  2066.0 -5.47e+04
    52  1.2260e+10 | 5.30e-08  2265.6 -2.26e+05 6.68e-08  2171.2 -3.13e+04 9.16e-09  2044.0  7.54e+03 4.05e-08  1897.6 -5.99e+04 7.25e-10  1162.6 -8.13e+05
    56  1.2502e+10 | 3.03e-09  1047.8 -6.88e+05 1.93e-08  1845.8 -1.39e+04 2.84e-10  1880.4 -7.19e+05 7.16e-09  1602.5 -1.82e+05 4.89e-10  1287.9 -7.32e+05
    60  1.2761e+10 | 1.08e-09  1061.8 -7.16e+05 4.75e-09  1704.2  3.80e+04 1.78e-10  1929.3 -6.34e+05 1.46e-09  1168.2 -3.13e+05 3.39e-10  1357.5 -6.53e+05
    64  1.3036e+10 | 5.22e-10  1176.0 -6.65e+05 1.63e-09  1820.3  5.38e+04 1.08e-10  2001.9 -5.41e+05 6.25e-10  1297.2 -2.94e+05 2.31e-10  1477.6 -5.60e+05
    68  1.3330e+10 | 2.73e-10  1350.8 -5.99e+05 5.50e-10  1814.3  6.17e+04 6.64e-11  2042.1 -4.45e+05 3.30e-10  1716.5 -2.57e+05 1.56e-10  1589.3 -4.70e+05
