   cycle        dt        T[K]         rho          v_r        e_int       delta_u       rt_src        rt_de        rt_Fb        rt_Ft        rt_Em  rt_clip     T[i-4]     T[i-2]     T[i+2]     T[i+4]
  138679    9.7953  3.6380e+02  6.7773e-11  -6.4268e+05   2.0152e+00  -5.97994e+00   2.5056e-03   1.2068e-02   1.5154e+09   1.5152e+09   4.7433e-05    0.000       1132      613.9        200        200
  138684   10.0591  2.9254e+02  5.7083e-11  -6.6394e+05   1.3641e+00  -5.71890e+00   1.4942e-03   7.4760e-03   1.5197e+09   1.5196e+09   2.9411e-05    0.000       1086      518.9        200        200
  138689    9.8030  2.8362e+02  4.7348e-11  -6.8790e+05   1.0864e+00  -4.86301e+00   8.8295e-04   4.3826e-03   1.5239e+09   1.5238e+09   6.5431e-04    0.000       1034      321.7        200        200
  138694    8.6760  5.7324e+02  3.9336e-11  -6.8738e+05   1.8816e+00  -4.05888e+00   2.6418e-04   1.1285e-03   1.5279e+09   1.5279e+09   5.0448e-04    0.000      985.6        432      407.5      499.6
  138699    8.6461  9.0082e+02  3.1963e-11  -6.7264e+05   2.3817e+00  -3.83163e+00   1.0638e-04   4.5896e-04   1.5316e+09   1.5316e+09   6.7419e-04    0.000      906.1        590      529.5      833.6
  138704    9.0361  9.6957e+02  2.6026e-11  -6.6334e+05   2.1009e+00  -3.03132e+00   1.8464e-05   8.2403e-05   1.5358e+09   1.5358e+09   7.2115e-04    0.000        863      505.1      473.3      989.6
  138709    9.2914  9.4402e+02  2.1784e-11  -6.5049e+05   1.6872e+00  -2.05893e+00   4.4243e-05   2.0592e-04   1.5410e+09   1.5410e+09   5.1999e-04    0.000      775.7      422.8      538.4      980.3
  138714    9.2518  9.1686e+02  1.9383e-11  -6.3223e+05   1.4758e+00  -1.03629e+00   6.8956e-05   3.1244e-04   1.5460e+09   1.5460e+09   4.3667e-04    0.000        713      398.8      584.6      981.6
  138719    9.2278  9.2177e+02  1.8035e-11  -6.2268e+05   1.3830e+00  -6.34827e-01   6.0339e-05   2.8036e-04   1.5508e+09   1.5508e+09   4.2416e-04    0.000      597.9      453.3      655.2      989.3
  138724    9.6069  9.5884e+02  1.7178e-11  -6.2107e+05   1.3726e+00  -3.74537e-01   6.2780e-05   2.9825e-04   1.5560e+09   1.5560e+09   5.0201e-04    0.000      428.3      867.4      771.9       1022
  138729    9.7267  1.0437e+03  1.6537e-11  -6.3094e+05   1.4417e+00  -3.32199e-01  -1.1518e-04  -5.6199e-04   1.5619e+09   1.5619e+09   7.4490e-04    0.000      240.6       1075      751.5       1051
  138734    9.1964  1.0793e+03  1.5720e-11  -6.3558e+05   1.4194e+00  -5.17947e-01  -1.2973e-04  -5.9867e-04   1.5671e+09   1.5671e+09   7.9505e-04    0.000      316.7       1197        840       1091
  138739    9.2016  1.0508e+03  1.4563e-11  -6.3437e+05   1.2829e+00  -7.81543e-01  -7.0630e-05  -3.2457e-04   1.5734e+09   1.5734e+09   7.0380e-04    0.000      365.9       1257      874.9       1123
  138744    9.0677  9.7911e+02  1.3144e-11  -6.2595e+05   1.0746e+00  -8.64357e-01   1.1601e-05   5.1944e-05   1.5801e+09   1.5801e+09   5.5293e-04    0.000      657.2       1276      960.7       1158
  138749    9.4640  9.5443e+02  1.1538e-11  -6.1934e+05   9.1820e-01  -9.31873e-01   5.4361e-06   2.5379e-05   1.5845e+09   1.5845e+09   4.8896e-04    0.000      774.3       1196       1020       1183
  138754    9.3395  9.6811e+02  9.9399e-12  -6.1002e+05   8.0231e-01  -8.66549e-01  -2.1943e-05  -1.0164e-04   1.5925e+09   1.5925e+09   4.9622e-04    0.000      939.5       1150       1097       1208
  138759    9.3830  9.9534e+02  8.5056e-12  -6.0377e+05   7.0648e-01  -7.40343e-01  -7.8602e-05  -3.6364e-04   1.5996e+09   1.5996e+09   4.9941e-04    0.000       1052       1051       1147       1227
  138764    8.9673  1.0840e+03  7.3423e-12  -5.9918e+05   6.6720e-01  -5.66838e-01  -1.7772e-04  -7.9039e-04   1.6067e+09   1.6067e+09   6.0576e-04    0.000       1226      998.2       1194       1245
  138769    8.9154  1.3251e+03  6.4302e-12  -6.1134e+05   7.3918e-01  -3.95541e-01  -6.2759e-04  -2.7486e-03   1.6127e+09   1.6127e+09   1.4150e-03    0.000       1397      949.3       1224       1259
  138774    9.6190  1.5409e+03  5.6805e-12  -6.4358e+05   9.9880e-01  -2.89383e-01  -8.5763e-04  -4.0461e-03   1.6214e+09   1.6215e+09   1.7947e-03    0.000       1450       1026       1255       1274
  138779    9.7044  1.6263e+03  5.0277e-12  -6.8292e+05   1.2579e+00  -2.76646e-01  -8.1941e-04  -3.9152e-03   1.6300e+09   1.6300e+09   1.7146e-03    0.000       1458       1213       1279       1286
  138784    9.7776  1.6555e+03  4.4843e-12  -7.1354e+05   1.3388e+00  -2.45639e-01  -8.6767e-04  -4.2143e-03   1.6400e+09   1.6401e+09   1.6982e-03    0.000       1466       1400       1334       1298
  138789    9.8996  1.6689e+03  4.0815e-12  -7.3003e+05   1.3407e+00  -1.81728e-01  -8.8176e-04  -4.3288e-03   1.6486e+09   1.6486e+09   1.6118e-03    0.000       1318       1494       1362       1307
  138794    9.3367  1.6790e+03  3.8039e-12  -7.3080e+05   1.3447e+00  -1.24790e-01  -8.3756e-04  -3.8308e-03   1.6596e+09   1.6597e+09   1.5448e-03    0.000       1136       1529       1380       1315
  138799    9.5447  1.6886e+03  3.5914e-12  -7.1224e+05   1.3180e+00  -1.68941e-01  -8.0325e-04  -3.7729e-03   1.6697e+09   1.6697e+09   1.4872e-03    0.000       1129       1570       1391       1323
  138804    9.7991  1.6439e+03  3.3894e-12  -6.5966e+05   1.0374e+00  -1.43152e-01  -6.9315e-04  -3.3333e-03   1.6814e+09   1.6815e+09   1.3217e-03    0.000       1191       1679       1399       1332
  138809    9.8785  1.6332e+03  3.3196e-12  -6.0895e+05   9.6518e-01  -1.63133e-02  -6.5779e-04  -3.2162e-03   1.6925e+09   1.6926e+09   1.2729e-03    0.000       1369       1762       1402       1339
  138810    9.7631  1.6348e+03  3.3244e-12  -6.0125e+05   9.7391e-01   1.21199e-02  -6.6091e-04  -3.2220e-03   1.6945e+09   1.6946e+09   1.2761e-03    0.000       1411       1773       1402       1340
  138811    9.4411  1.6353e+03  3.3373e-12  -5.9413e+05   9.8004e-01   3.37136e-02  -6.6173e-04  -3.1888e-03   1.6972e+09   1.6972e+09   1.2816e-03    0.000       1455       1783       1402       1342
  138812    9.5135  1.6373e+03  3.3560e-12  -5.8794e+05   9.9389e-01   6.00322e-02  -6.6676e-04  -3.1087e-03   1.6997e+09   1.6997e+09   1.2924e-03    0.000       1492       1791       1403       1343
  138813    9.5992  1.6405e+03  3.3792e-12  -5.8232e+05   1.0160e+00   8.27619e-02  -6.7500e-04  -3.1713e-03   1.7021e+09   1.7022e+09   1.3076e-03    0.000       1525       1799       1403       1344
  138814    9.7122  1.6451e+03  3.4052e-12  -5.7717e+05   1.0471e+00   1.02491e-01  -6.8613e-04  -3.2529e-03   1.7046e+09   1.7047e+09   1.3270e-03    0.000       1554       1804       1404       1345
  138815    9.8588  1.6512e+03  3.4331e-12  -5.7248e+05   1.0882e+00   1.21178e-01  -7.0016e-04  -3.3589e-03   1.7071e+09   1.7072e+09   1.3504e-03    0.000       1579       1818       1405       1346
  138816    9.9564  1.6612e+03  3.4622e-12  -5.6806e+05   1.1399e+00   1.38435e-01  -7.0103e-04  -3.4153e-03   1.7096e+09   1.7097e+09   1.3634e-03    0.000       1598       1826       1400       1347
  138817    9.8553  1.6704e+03  3.4916e-12  -5.6396e+05   1.2067e+00   1.58946e-01  -7.1838e-04  -3.5354e-03   1.7121e+09   1.7122e+09   1.3946e-03    0.000       1616       1832       1401       1347
  138818    9.7302  1.6813e+03  3.5203e-12  -5.6021e+05   1.2962e+00   1.84070e-01  -7.3240e-04  -3.5698e-03   1.7146e+09   1.7146e+09   1.4301e-03    0.000       1627       1835       1402       1348
  138819    9.2855  1.6944e+03  3.5480e-12  -5.5741e+05   1.3938e+00   1.95584e-01  -7.4306e-04  -3.5784e-03   1.7170e+09   1.7170e+09   1.4613e-03    0.000       1643       1837       1401       1348
  138820    9.2591  1.7072e+03  3.5727e-12  -5.5552e+05   1.5095e+00   2.11121e-01  -7.4291e-04  -3.4179e-03   1.7192e+09   1.7192e+09   1.4738e-03    0.000       1655       1837       1402       1349
  138821    9.2819  1.7186e+03  3.5978e-12  -5.5399e+05   1.6097e+00   2.02464e-01  -7.1361e-04  -3.2761e-03   1.7217e+09   1.7218e+09   1.4590e-03    0.000       1673       1837       1401       1350
  138822    9.1306  1.7304e+03  3.6253e-12  -5.5254e+05   1.7366e+00   2.42276e-01  -7.1649e-04  -3.2992e-03   1.7243e+09   1.7244e+09   1.4582e-03    0.000       1690       1837       1403       1351
  138823    9.2574  1.7440e+03  3.6541e-12  -5.5116e+05   1.8757e+00   2.65120e-01  -7.1319e-04  -3.2330e-03   1.7269e+09   1.7269e+09   1.4500e-03    0.000       1705       1838       1403       1352
  138824    9.3550  1.7581e+03  3.6848e-12  -5.4988e+05   2.0467e+00   3.11966e-01  -7.2189e-04  -3.3194e-03   1.7294e+09   1.7295e+09   1.4543e-03    0.000       1720       1838       1404       1353
