=== cycle 138770  time 1742728.813024  dt 11.16660
   i        T[K]         rho          v_r         rt_de       delta_u
  48  1.1839e+03  9.8026e-10  -9.5570e+05   1.97388e-01  -9.40671e+01
  49  2.0831e+02  6.9621e-10  -9.8344e+05   1.91774e-01  -5.92129e+01
  50  2.0000e+02  5.3149e-10  -9.1453e+05   1.12011e-01  -4.27425e+01
  51  2.0000e+02  3.9173e-10  -8.6197e+05   7.59362e-02  -3.11045e+01
  52  2.0000e+02  2.4956e-10  -8.4097e+05   4.85846e-02  -2.62680e+01
  53  2.0000e+02  1.4022e-10  -8.3366e+05   2.95503e-02  -1.70366e+01
  54  2.0000e+02  6.7135e-11  -8.6601e+05   1.55369e-02  -8.29565e+00
  55  2.0000e+02  2.5383e-11  -9.7542e+05   6.24190e-03  -3.27761e+00
  56  2.0000e+02  1.2123e-11  -9.8781e+05   3.07536e-03   1.49302e-01
  57  2.0000e+02  9.1907e-12  -8.0842e+05   2.37914e-03   6.62376e-02
  58  2.0000e+02  7.2001e-12  -7.5902e+05  -2.30415e-03  -1.71857e-01
=== cycle 138771  time 1742739.979626  dt 11.15635
   i        T[K]         rho          v_r         rt_de       delta_u
  48  1.0087e+03  9.4463e-10  -9.5555e+05   1.53972e-01  -9.78205e+01
  49  5.6560e+02  6.7439e-10  -9.7561e+05   3.24054e-01  -4.50692e+01
  50  2.0000e+02  5.1658e-10  -9.0738e+05   1.07026e-01  -4.19117e+01
  51  2.0000e+02  3.8076e-10  -8.5807e+05   7.23206e-02  -2.84969e+01
  52  2.0000e+02  2.3891e-10  -8.3906e+05   4.56474e-02  -2.54221e+01
  53  2.0000e+02  1.3279e-10  -8.3581e+05   2.75434e-02  -1.67551e+01
  54  2.0000e+02  6.2631e-11  -8.8484e+05   1.42723e-02  -7.43412e+00
  55  2.0000e+02  2.2885e-11  -1.0252e+06   5.64027e-03  -3.40784e+00
  56  2.0000e+02  1.1944e-11  -1.0155e+06   2.97285e-03   4.17619e-01
  57  2.0000e+02  9.1936e-12  -8.1673e+05   2.33798e-03   1.57451e-01
  58  2.0000e+02  7.1319e-12  -7.5539e+05  -2.43366e-03  -1.73342e-01
=== cycle 138772  time 1742751.135978  dt 11.15366
   i        T[K]         rho          v_r         rt_de       delta_u
  48  1.0239e+03  9.0900e-10  -9.5563e+05   1.25623e-01  -9.19576e+01
  49  7.7368e+02  6.5445e-10  -9.6592e+05   7.10068e-02  -4.60045e+01
  50  2.0000e+02  5.0280e-10  -9.0142e+05   1.16003e-01  -3.82246e+01
  51  2.0000e+02  3.7033e-10  -8.5445e+05   7.53043e-02  -2.67507e+01
  52  2.0000e+02  2.2899e-10  -8.3769e+05   4.66519e-02  -2.36004e+01
  53  2.0000e+02  1.2575e-10  -8.3943e+05   2.76639e-02  -1.53590e+01
  54  2.0000e+02  5.8326e-11  -9.1370e+05   1.40176e-02  -5.79230e+00
  55  2.0000e+02  2.0247e-11  -1.1058e+06   5.06760e-03  -2.80259e+00
  56  2.0000e+02  1.1759e-11  -1.0391e+06   3.05890e-03   2.09878e-01
  57  2.0000e+02  9.2084e-12  -8.1736e+05   2.43468e-03   4.24464e-02
  58  2.0000e+02  7.0771e-12  -7.5304e+05  -2.46202e-03  -1.31844e-01
=== cycle 138773  time 1742762.289640  dt 11.15138
   i        T[K]         rho          v_r         rt_de       delta_u
  48  1.0522e+03  8.7416e-10  -9.5485e+05   9.31519e-02  -8.81336e+01
  49  9.3919e+02  6.3644e-10  -9.5581e+05   7.57178e-02  -4.40345e+01
  50  2.0000e+02  4.8986e-10  -8.9645e+05   1.10439e-01  -3.53485e+01
  51  2.0000e+02  3.6011e-10  -8.5134e+05   7.01756e-02  -2.57382e+01
  52  2.0000e+02  2.1941e-10  -8.3700e+05   4.32662e-02  -2.26015e+01
  53  2.0000e+02  1.1921e-10  -8.4534e+05   2.55309e-02  -1.35355e+01
  54  2.0000e+02  5.4182e-11  -9.5358e+05   1.27003e-02  -4.24345e+00
  55  2.0000e+02  1.7981e-11  -1.2054e+06   4.38798e-03  -9.98239e-01
  56  2.0000e+02  1.1534e-11  -1.0571e+06   2.91857e-03  -2.60688e-01
  57  2.0000e+02  9.2776e-12  -8.0783e+05   2.38247e-03  -8.49239e-05
  58  2.0000e+02  7.0380e-12  -7.4921e+05  -2.63212e-03  -1.10177e-01
=== cycle 138774  time 1742773.441015  dt 11.13268
   i        T[K]         rho          v_r         rt_de       delta_u
  48  1.0968e+03  8.4191e-10  -9.5448e+05   5.71648e-02  -8.00211e+01
  49  1.0968e+03  6.1961e-10  -9.4510e+05   7.64226e-02  -4.26914e+01
  50  2.0000e+02  4.7757e-10  -8.9236e+05   1.10859e-01  -3.29947e+01
  51  2.0000e+02  3.4991e-10  -8.4895e+05   6.74850e-02  -2.51366e+01
  52  2.0000e+02  2.1000e-10  -8.3731e+05   4.11150e-02  -2.18686e+01
  53  2.0000e+02  1.1329e-10  -8.5438e+05   2.41764e-02  -1.12404e+01
  54  2.0000e+02  4.9127e-11  -1.0183e+06   1.17108e-02  -4.28528e+00
  55  2.0000e+02  1.6009e-11  -1.3229e+06   3.88342e-03   7.25164e-01
  56  2.0000e+02  1.1297e-11  -1.0734e+06   2.83217e-03  -5.45541e-01
  57  2.0000e+02  9.4109e-12  -7.9163e+05   2.39486e-03   5.92660e-02
  58  2.0000e+02  7.0221e-12  -7.4132e+05  -2.77518e-03  -7.45379e-02
=== cycle 138775  time 1742784.573697  dt 11.06018
   i        T[K]         rho          v_r         rt_de       delta_u
  48  1.1518e+03  8.1212e-10  -9.5449e+05   1.11386e-02  -7.31773e+01
  49  1.2398e+03  6.0354e-10  -9.3351e+05   7.79061e-02  -4.19729e+01
  50  2.0000e+02  4.6584e-10  -8.8917e+05   1.10172e-01  -3.08880e+01
  51  2.0000e+02  3.3974e-10  -8.4736e+05   6.43232e-02  -2.45249e+01
  52  2.0000e+02  2.0107e-10  -8.3845e+05   3.89730e-02  -2.04922e+01
  53  2.0000e+02  1.0762e-10  -8.6957e+05   2.30881e-02  -9.24144e+00
  54  2.0000e+02  4.3235e-11  -1.1151e+06   1.01646e-02  -3.70925e+00
  55  2.0000e+02  1.4307e-11  -1.4668e+06   3.48573e-03   2.65867e+00
  56  2.0000e+02  1.1067e-11  -1.0501e+06   2.78717e-03  -1.90825e+00
  57  2.0000e+02  9.6079e-12  -7.7670e+05   2.45995e-03   2.12271e-01
  58  2.7626e+02  7.0370e-12  -7.2934e+05  -5.02931e-03   6.05157e-02
=== cycle 138776  time 1742795.633876  dt 10.28932
   i        T[K]         rho          v_r         rt_de       delta_u
  48  1.2107e+03  7.8389e-10  -9.5368e+05  -3.63864e-02  -7.00292e+01
  49  1.3677e+03  5.8880e-10  -9.2210e+05   7.74613e-02  -3.88961e+01
  50  2.0000e+02  4.5460e-10  -8.8691e+05   1.10406e-01  -2.89721e+01
  51  2.0000e+02  3.2971e-10  -8.4657e+05   6.19049e-02  -2.37152e+01
  52  2.0000e+02  1.9267e-10  -8.4037e+05   3.68919e-02  -1.90248e+01
  53  2.0000e+02  1.0216e-10  -8.9359e+05   2.14284e-02  -6.80496e+00
  54  2.0000e+02  3.7432e-11  -1.2429e+06   8.50507e-03  -1.25361e+00
  55  2.0000e+02  1.2683e-11  -1.6366e+06   2.96069e-03   3.29289e+00
  56  2.0000e+02  1.1059e-11  -9.9462e+05   2.62563e-03  -2.12294e+00
  57  2.0000e+02  9.8452e-12  -7.6101e+05   2.10859e-03   3.12407e-01
  58  7.0152e+02  7.0859e-12  -7.1456e+05  -1.90663e-03   2.52573e-01
=== cycle 138777  time 1742805.923196  dt 9.22699
   i        T[K]         rho          v_r         rt_de       delta_u
  48  1.2652e+03  7.5870e-10  -9.5174e+05  -9.21982e-02  -6.37905e+01
  49  1.4695e+03  5.7640e-10  -9.1235e+05   5.60099e-02  -3.24145e+01
  50  2.0000e+02  4.4440e-10  -8.8562e+05   1.08078e-01  -2.56718e+01
  51  2.0000e+02  3.2049e-10  -8.4660e+05   5.77111e-02  -2.14501e+01
  52  2.0000e+02  1.8530e-10  -8.4304e+05   3.43474e-02  -1.63532e+01
  53  2.0000e+02  9.7202e-11  -9.2740e+05   2.00140e-02  -3.50089e+00
  54  2.0000e+02  3.1938e-11  -1.3993e+06   7.16698e-03   6.33803e-01
  55  2.0000e+02  1.1333e-11  -1.8368e+06   2.60612e-03   5.08369e+00
  56  2.0000e+02  1.1276e-11  -9.3823e+05   2.63474e-03  -1.22419e+00
  57  2.0000e+02  1.0116e-11  -7.4285e+05  -3.38947e-04   4.85123e-01
