
--- exp_g3 k=16 j=17 : T [K] vs i (columns i=48..58) ---
   cycle      dt        48        49        50        51        52        53        54        55        56        57        58
  138770  11.167      1184     208.3       200       200       200       200       200       200       200       200       200
  138771  11.156      1009     565.6       200       200       200       200       200       200       200       200       200
  138772  11.154      1024     773.7       200       200       200       200       200       200       200       200       200
  138773  11.151      1052     939.2       200       200       200       200       200       200       200       200       200
  138774  11.133      1097      1097       200       200       200       200       200       200       200       200       200
  138775  11.060      1152      1240       200       200       200       200       200       200       200       200     276.3
  138776  10.289      1211      1368       200       200       200       200       200       200       200       200     701.5
  138777   9.227      1265      1469       200       200       200       200       200       200       200       200      1201
  138778   8.629      1307      1544       200       200       200       200       200       200       200     335.3      1461
  138779   8.515      1335      1601       200       200       200       200       200       200       200     611.7      1554
  138780   8.400      1365      1648       200       200       200       200       200       200       200     944.1      1613
  138781   7.241      1377      1579       452       200       369     488.2       200       200       200      1308      1655
  138782   5.613      1544      1291     536.8       200     594.9     957.8       200       200     343.3      1475      1683
  138783   4.389      1556      1144     500.1     307.8     817.9      1762       200       200     575.3      1541      1701
  138784   3.803      1562      1040     535.7     350.8      1061      1884       200       200     773.3      1576      1713
  138785   3.502      1564     956.5     564.8       389      1388      2016       200       200     944.3      1600      1724
  138786   3.323      1563     886.6     592.5     427.4      1604      2026       200       200      1103      1619      1732
  138787   3.211      1560     826.2     619.7     473.6      1705      1943       200       200      1249      1635      1740
  138788   3.146      1553     772.8     647.1     551.7      1762     398.6       200       200      1364      1648      1747
  138789   3.478      1537     724.9     676.4     624.6      1801       200       200       200      1441      1660      1753
  138790   4.359      1514     676.3     711.2       718      1892       200       200       200      1498      1671      1760
  138791   4.675      1453     679.1     714.1     966.2      2096       200       200       200      1531      1685      1768
  138792   3.697      1387     673.1     747.7      1454      2433       200       200     232.5      1562      1699      1776
  138793   2.809      1331     661.8     793.7      1717      6622       200       200     415.8      1585      1709      1782
  138794   2.158      1427       663     824.9      1555      7453       200       200     634.1      1749      1774      1810
  138795   1.653      1588       667     833.8      1592      7996       200       200     811.7      1863      1821      1832
  138796   1.246      1701     664.9       845      1601      8675       200       200      1028      1962      1857      1849
  138797   0.949      1795     664.4     855.2      1640 1.001e+04       200       200      1293      2083      1887      1865
  138798   0.745      1936     664.4     865.8      1661 1.973e+04       200       200      1692      5547      1939      1893
  138799   0.607      2127     667.7       888      1630 1.535e+04       200       200      1850      7189      2510      2248
  138800   0.526      2246     677.1     959.6      1632 2.826e+04       200       200      2025      7606      6651      5799

--- exp_g3 k=16 j=17 : rho vs i (columns i=48..58) ---
   cycle      dt        48        49        50        51        52        53        54        55        56        57        58
  138770  11.167 9.803e-10 6.962e-10 5.315e-10 3.917e-10 2.496e-10 1.402e-10 6.713e-11 2.538e-11 1.212e-11 9.191e-12 7.200e-12
  138771  11.156 9.446e-10 6.744e-10 5.166e-10 3.808e-10 2.389e-10 1.328e-10 6.263e-11 2.289e-11 1.194e-11 9.194e-12 7.132e-12
  138772  11.154 9.090e-10 6.545e-10 5.028e-10 3.703e-10 2.290e-10 1.257e-10 5.833e-11 2.025e-11 1.176e-11 9.208e-12 7.077e-12
  138773  11.151 8.742e-10 6.364e-10 4.899e-10 3.601e-10 2.194e-10 1.192e-10 5.418e-11 1.798e-11 1.153e-11 9.278e-12 7.038e-12
  138774  11.133 8.419e-10 6.196e-10 4.776e-10 3.499e-10 2.100e-10 1.133e-10 4.913e-11 1.601e-11 1.130e-11 9.411e-12 7.022e-12
  138775  11.060 8.121e-10 6.035e-10 4.658e-10 3.397e-10 2.011e-10 1.076e-10 4.324e-11 1.431e-11 1.107e-11 9.608e-12 7.037e-12
  138776  10.289 7.839e-10 5.888e-10 4.546e-10 3.297e-10 1.927e-10 1.022e-10 3.743e-11 1.268e-11 1.106e-11 9.845e-12 7.086e-12
  138777   9.227 7.587e-10 5.764e-10 4.444e-10 3.205e-10 1.853e-10 9.720e-11 3.194e-11 1.133e-11 1.128e-11 1.012e-11 7.167e-12
  138778   8.629 7.371e-10 5.664e-10 4.354e-10 3.124e-10 1.791e-10 9.143e-11 2.713e-11 1.018e-11 1.161e-11 1.040e-11 7.272e-12
  138779   8.515 7.180e-10 5.578e-10 4.271e-10 3.050e-10 1.733e-10 8.511e-11 2.248e-11 9.266e-12 1.199e-11 1.070e-11 7.400e-12
  138780   8.400 7.004e-10 5.500e-10 4.190e-10 2.978e-10 1.678e-10 7.879e-11 1.773e-11 8.611e-12 1.243e-11 1.104e-11 7.562e-12
  138781   7.241 6.841e-10 5.431e-10 4.113e-10 2.909e-10 1.630e-10 7.134e-11 1.395e-11 8.530e-12 1.292e-11 1.142e-11 7.750e-12
  138782   5.613 6.717e-10 5.371e-10 4.048e-10 2.851e-10 1.588e-10 6.420e-11 1.022e-11 8.821e-12 1.343e-11 1.178e-11 7.937e-12
  138783   4.389 6.636e-10 5.321e-10 4.000e-10 2.807e-10 1.553e-10 5.754e-11 7.626e-12 9.227e-12 1.386e-11 1.207e-11 8.096e-12
  138784   3.803 6.580e-10 5.282e-10 3.965e-10 2.773e-10 1.520e-10 5.165e-11 5.626e-12 9.717e-12 1.423e-11 1.232e-11 8.231e-12
  138785   3.502 6.536e-10 5.247e-10 3.936e-10 2.743e-10 1.491e-10 4.612e-11 4.266e-12 1.023e-11 1.457e-11 1.254e-11 8.355e-12
  138786   3.323 6.499e-10 5.214e-10 3.910e-10 2.715e-10 1.463e-10 4.079e-11 3.316e-12 1.073e-11 1.489e-11 1.275e-11 8.476e-12
  138787   3.211 6.463e-10 5.183e-10 3.887e-10 2.689e-10 1.431e-10 3.563e-11 2.647e-12 1.121e-11 1.521e-11 1.295e-11 8.596e-12
  138788   3.146 6.428e-10 5.152e-10 3.865e-10 2.663e-10 1.396e-10 3.059e-11 2.174e-12 1.169e-11 1.553e-11 1.316e-11 8.717e-12
  138789   3.478 6.394e-10 5.123e-10 3.843e-10 2.638e-10 1.361e-10 2.566e-11 2.161e-12 1.216e-11 1.586e-11 1.336e-11 8.841e-12
  138790   4.359 6.355e-10 5.091e-10 3.818e-10 2.611e-10 1.329e-10 1.957e-11 2.520e-12 1.267e-11 1.624e-11 1.360e-11 8.984e-12
  138791   4.675 6.307e-10 5.052e-10 3.786e-10 2.578e-10 1.280e-10 1.293e-11 3.013e-12 1.333e-11 1.672e-11 1.390e-11 9.173e-12
  138792   3.697 6.256e-10 5.012e-10 3.752e-10 2.543e-10 1.196e-10 8.197e-12 3.658e-12 1.404e-11 1.726e-11 1.425e-11 9.388e-12
  138793   2.809 6.215e-10 4.982e-10 3.725e-10 2.511e-10 1.115e-10 5.617e-12 4.390e-12 1.463e-11 1.770e-11 1.453e-11 9.567e-12
  138794   2.158 6.184e-10 4.961e-10 3.705e-10 2.484e-10 1.052e-10 4.001e-12 5.066e-12 1.508e-11 1.804e-11 1.475e-11 9.708e-12
  138795   1.653 6.160e-10 4.944e-10 3.689e-10 2.463e-10 1.002e-10 2.878e-12 5.672e-12 1.543e-11 1.831e-11 1.492e-11 9.820e-12
  138796   1.246 6.142e-10 4.932e-10 3.677e-10 2.445e-10 9.634e-11 2.066e-12 6.186e-12 1.571e-11 1.852e-11 1.506e-11 9.907e-12
  138797   0.949 6.129e-10 4.923e-10 3.668e-10 2.431e-10 9.346e-11 1.513e-12 6.591e-12 1.591e-11 1.867e-11 1.516e-11 9.974e-12
  138798   0.745 6.119e-10 4.916e-10 3.661e-10 2.424e-10 9.103e-11 1.151e-12 6.906e-12 1.607e-11 1.878e-11 1.525e-11 1.003e-11
  138799   0.607 6.111e-10 4.911e-10 3.655e-10 2.418e-10 8.905e-11 9.118e-13 7.157e-12 1.621e-11 1.883e-11 1.534e-11 1.007e-11
  138800   0.526 6.105e-10 4.907e-10 3.651e-10 2.415e-10 8.719e-11 7.656e-13 7.367e-12 1.632e-11 1.889e-11 1.540e-11 1.010e-11

--- exp_g3 k=16 j=17 : v_r vs i (columns i=48..58) ---
   cycle      dt        48        49        50        51        52        53        54        55        56        57        58
  138770  11.167 -9.56e+05 -9.83e+05 -9.15e+05 -8.62e+05 -8.41e+05 -8.34e+05 -8.66e+05 -9.75e+05 -9.88e+05 -8.08e+05 -7.59e+05
  138771  11.156 -9.56e+05 -9.76e+05 -9.07e+05 -8.58e+05 -8.39e+05 -8.36e+05 -8.85e+05 -1.03e+06 -1.02e+06 -8.17e+05 -7.55e+05
