   cycle          time   n(T=200K) n(rho<1e-9)  n(rt_clip)   sum|clip|     maxT[K]
  138700  1741987.7138          96       18708           0           0  6.4713e+03
  138710  1742088.9909          77       18630           0           0  6.4712e+03
  138720  1742192.1841          81       18542           0           0  6.4711e+03
  138730  1742296.0680          73       18452           0           0  6.4709e+03
  138740  1742403.3301          63       18338           2           2  6.4707e+03
  138750  1742510.2866          59       18221           1           1  6.4704e+03
  138760  1742617.1956          53       18100           1           1  6.4697e+03
  138770  1742728.8130          52       17982           1           1  6.4694e+03
  138780  1742832.2947          34       17858           0           0  6.4693e+03
  138781  1742840.6948          19       17852           0           0  6.4693e+03
  138782  1742847.9363          18       17846           0           0  6.4693e+03
  138783  1742853.5489          17       17840           0           0  6.4693e+03
  138784  1742857.9375          15       17832           0           0  6.4693e+03
  138785  1742861.7403          17       17828           0           0  6.4693e+03
  138786  1742865.2423          16       17822           0           0  6.4693e+03
  138787  1742868.5656          15       17817           0           0  6.4693e+03
  138788  1742871.7767          14       17816           0           0  6.4693e+03
  138789  1742874.9229          15       17810           0           0  6.4693e+03
  138790  1742878.4010          14       17806           0           0  6.4692e+03
  138791  1742882.7602          11       17804           0           0  6.4692e+03
  138792  1742887.4353           9       17799           0           0  6.4692e+03
  138793  1742891.1324           8       17795           1           1  6.6224e+03
  138794  1742893.9414          10       17792           1           1  7.4529e+03
  138795  1742896.0996          11       17788           1           1  7.9960e+03
  138796  1742897.7529          10       17786           1           1  8.6746e+03
  138797  1742898.9993          10       17785           2           2  1.0007e+04
  138798  1742899.9483          10       17781          72          72  1.9733e+04
  138799  1742900.6932          10       17781           2           2  1.5353e+04
  138800  1742901.3000          10       17780          71          71  2.8261e+04
  138801  1742901.8255           4       17780          75          75  3.2294e+04
  138802  1742902.2649           4       17780          62          62  3.6445e+04
  138803  1742902.6478           4       17779          74          74  5.1523e+04
  138804  1742903.0084           4       17779          84          84  1.0991e+05
  138805  1742903.3903           4       17779          85          85  1.3107e+05
  138806  1742903.7989           4       17779          85          85  1.2893e+05
  138807  1742904.2279           4       17779          90          90  1.5907e+05
  138808  1742904.6715           4       17779          84          84  1.6279e+05
  138809  1742905.2542           4       17778          90          90  1.7660e+05
  138810  1742906.0619           4       17773          87          87  1.8149e+05
  138811  1742907.2592           5       17773          89          89  1.8957e+05
  138812  1742909.1662           5       17771          89          89  1.7473e+05
  138813  1742910.2477           5       17771          88          88  5.0941e+05
  138814  1742911.7962           7       17771          88          88  4.0531e+05
  138815  1742913.4797           6       17770          90          90  3.1430e+05
  138816  1742915.6460           6       17768          90          90  3.0607e+05
  138817  1742917.4432           6       17768          88          88  3.3090e+05
  138818  1742919.6364           7       17765          88          88  3.2807e+05
  138819  1742921.5931           6       17764          88          88  3.1278e+05
  138820  1742923.7185           7       17759          86          86  3.7054e+05
  138821  1742925.5154           3       17757          88          88  3.8037e+05
  138822  1742927.1943           3       17750          87          87  3.9315e+05
  138823  1742928.7654           3       17748          90          90  4.8673e+05
  138824  1742930.2672           4       17746          90          90  4.9438e+05
  138825  1742931.5240           2       17745          89          89  5.0953e+05
  138826  1742931.8059           2       17745          86          86  5.0444e+05
  138827  1742931.8535           2       17745          82          82  4.6415e+05
  138828  1742931.9205           2       17745          84          84  4.2959e+05
  138829  1742931.9939           2       17745          85          85  4.5998e+05
  138830  1742932.0712           2       17745          84          84  4.2714e+05
  138831  1742932.1527           2       17745          85          85  4.6712e+05
  138832  1742932.2374           2       17745          84          84  4.9678e+05
  138833  1742932.3178           2       17745          85          85  4.4804e+05
  138834  1742932.3999           2       17745          84          84  4.3638e+05
  138835  1742932.5353           2       17745          85          85  4.4330e+05
  138836  1742932.8061           2       17745          84          84  4.3434e+05
  138837  1742933.3477           2       17744          88          88  4.6164e+05
  138838  1742933.4080           2       17744          84          84  4.8258e+05
  138839  1742933.4307           2       17744          82          82  4.1786e+05
  138840  1742933.4513           2       17744          83          83  4.0276e+05
  138841  1742933.4669           2       17744          83          83  4.6856e+05
  138842  1742933.4817           2       17744          83          83  4.2119e+05
  138843  1742933.4940           2       17744          84          84  4.6773e+05
  138844  1742933.5058           2       17744          81          81  4.6314e+05
  138845  1742933.5169           2       17744          82          82  4.7779e+05
  138846  1742933.5278           2       17744          83          83  4.7796e+05
  138847  1742933.5385           2       17744          82          82  4.6647e+05
  138848  1742933.5488           2       17744          81          81  4.7668e+05
  138849  1742933.5591           2       17744          83          83  4.6590e+05
  138850  1742933.5692           2       17743          82          82  4.7778e+05
  138851  1742933.5793           2       17743          82          82  4.6535e+05
  138852  1742933.5893           2       17743          81          81  4.1987e+05
  138853  1742933.5994           2       17743          83          83  4.7484e+05
  138854  1742933.6096           2       17743          81          81  4.1982e+05
  138855  1742933.6199           2       17743          84          84  4.7410e+05
  138856  1742933.6303           2       17743          82          82  4.7760e+05
  138857  1742933.6409           2       17743          83          83  4.9919e+05
  138858  1742933.6516           2       17743          84          84  4.3882e+05
  138859  1742933.6625           2       17743          84          84  5.0308e+05
  138860  1742933.6736           2       17743          84          84  5.7072e+05
  138861  1742933.6849           2       17743          82          82  4.9795e+05
  138862  1742933.6964           2       17743          84          84  5.9344e+05
  138863  1742933.7082           2       17743          85          85  5.9372e+05
  138864  1742933.7202           2       17743          84          84  5.9315e+05
  138865  1742933.7326           2       17743          86          86  4.9658e+05
  138866  1742933.7454           2       17743          84          84  5.9284e+05
  138867  1742933.7586           2       17743          83          83  4.9582e+05
